analysis_id,9xdl2x3ag98x758
parameter_name,Coat - color - abdomen
pvalue,0.739946
parameter_id,IMPC_CSD_007_001
gene_accession_id,MGI:3026886
gene_symbol,Cdin1
mouse_strain,C57BL
mouse_life_stage,Early adult
