parameter_name,Shape of vertebrae
gene_accession_id,MGI:97838
analysis_id,2wlsydea1vn87cq
pvalue,0.1626356
mouse_life_stage,E9.5
gene_symbol,Eprs1
mouse_strain,C57BL
parameter_id,IMPC_XRY_018_001
