parameter_name,Light side time spent
mouse_strain,C57BL
analysis_id,5h6k47ti5yxhzi1
pvalue,0.7114067
mouse_life_stage,Late adult
gene_symbol,Frmpd1
parameter_id,JAX_LDT_002_001
gene_accession_id,MGI:2446274
