gene_symbol,Ppm1j
gene_accession_id,MGI:1919137
mouse_strain,C57BL
parameter_id,IMPC_EYE_008_001
mouse_life_stage,Early adult
pvalue,0.6180917
parameter_name,Corneal opacity
analysis_id,h2x1y6e65i67676
