gene_symbol,Snrpb2
pvalue,0.09441873
mouse_strain,C57BL
parameter_name,Anophthalmia
mouse_life_stage,Early adult
analysis_id,n1l9n246vb08225
gene_accession_id,MGI:104805
parameter_id,IMPC_GEO_048_002
