parameter_name,Ly6Clow monocyte number
gene_symbol,Fpgs
pvalue,0.5074654
analysis_id,t4826y3o3pk9zkc
parameter_id,MGP_PBI_038_001
gene_accession_id,MGI:95576
mouse_strain,C57BL
mouse_life_stage,Early adult
