gene_symbol,Ufc1
pvalue,0.9779863
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_IMM_025_001
parameter_name,DN CD25- NKT cells
analysis_id,4yuc43jc51o8ouk
gene_accession_id,MGI:1913405
