parameter_name,Vibrissae - appearance
gene_symbol,Sema6c
gene_accession_id,MGI:1338032
pvalue,0.6516371
mouse_strain,C57BL
analysis_id,60f5z273lfjb36f
parameter_id,HMGULA_DYS_024_001
mouse_life_stage,Early adult
