gene_symbol,Cisd2
pvalue,0.4082596
mouse_life_stage,Early adult
gene_accession_id,MGI:1914256
parameter_name,Total NK cells - % of CD45+
parameter_id,MGP_IMM_033_001
mouse_strain,C57BL
analysis_id,e6a065bp3d9r21m
