gene_symbol,Cldn19
pvalue,0.1231904
mouse_strain,C57BL
gene_accession_id,MGI:3033992
parameter_name,Neural tube closure
analysis_id,54hd5zzg76c923q
parameter_id,IMPC_GEL_027_001
mouse_life_stage,Early adult
