analysis_id,pops6f46vu6i330
parameter_id,MGP_PBI_003_001
gene_symbol,Nanp
gene_accession_id,MGI:1914561
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,CD4+ alpha beta T cell percentage
pvalue,0.3926724
