analysis_id,u89be292160a04g
gene_symbol,Atg4c
gene_accession_id,MGI:2651854
parameter_id,JAX_OFD_014_001
parameter_name,Center distance travelled
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.3452198
