analysis_id,6o2t9zt345m3900
mouse_life_stage,Early adult
gene_accession_id,MGI:99915
mouse_strain,C57BL
gene_symbol,Lamb3
parameter_id,MGP_IMM_015_001
parameter_name,Resting CD8+ T cells - % of CD8+
pvalue,0.09123468
