analysis_id,7ww916bp7wz035i
mouse_life_stage,E9.5
mouse_strain,C57BL
pvalue,0.4997855
parameter_name,HRV
gene_symbol,Tiprl
parameter_id,IMPC_ECG_010_001
gene_accession_id,MGI:1915087
