pvalue,0.897794
gene_symbol,Hpca
gene_accession_id,MGI:1336200
mouse_strain,C57BL
parameter_name,Resting NK cells - % of CD45+
mouse_life_stage,Early adult
analysis_id,4i293o2c0adggto
parameter_id,MGP_IMM_100_001
