parameter_id,JAX_OFD_014_001
pvalue,9.350386e-05
mouse_strain,C57BL
gene_accession_id,MGI:1915678
mouse_life_stage,Early adult
analysis_id,0dkbnsy3g7g3408
gene_symbol,Steap3
parameter_name,Center distance travelled
