analysis_id,4rr9vy9msfew3t5
gene_symbol,Extl1
parameter_id,IMPC_ECG_008_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1888742
pvalue,0.6434654
parameter_name,ST
mouse_strain,C57BL
