parameter_name,Eosinophil number
gene_accession_id,MGI:1916363
mouse_strain,C57BL
pvalue,0.9461214
mouse_life_stage,Early adult
analysis_id,62iv7h11581i0ee
parameter_id,MGP_PBI_040_001
gene_symbol,Alkbh3
