gene_symbol,Ift74
parameter_id,IMPC_ABR_004_001
analysis_id,55w17008rf3sw09
parameter_name,6kHz-evoked ABR Threshold
gene_accession_id,MGI:1914944
pvalue,0.718367
mouse_strain,C57BL
mouse_life_stage,Early adult
