analysis_id,52je2pmu1f3h375
gene_symbol,Frmpd1
pvalue,1.166119
parameter_id,IMPC_ECH_003_001
mouse_strain,C57BL
gene_accession_id,MGI:2446274
mouse_life_stage,Early adult
parameter_name,Stroke Volume
