analysis_id,625f6r310sy33tr
gene_symbol,Zmynd8
parameter_id,IMPC_IMM_005_002
mouse_strain,C57BL
parameter_name,NK cells (Panel A) - % of live leukocytes (Panel A)
gene_accession_id,MGI:1918025
mouse_life_stage,Early adult
pvalue,0.171719
