parameter_name,Time mobile light side
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1925049
parameter_id,JAX_LDT_003_001
pvalue,0.9041251
gene_symbol,Sla2
analysis_id,h5x357l6n8chc9x
