parameter_name,Clavicle
gene_symbol,Sfpq
pvalue,0.2818823
mouse_strain,C57BL
analysis_id,1vx2ukt4r75gr2x
parameter_id,IMPC_XRY_007_001
gene_accession_id,MGI:1918764
mouse_life_stage,Early adult
