analysis_id,ju0m24ewc0gv3ut
pvalue,5.718354e-06
gene_symbol,Ivd
gene_accession_id,MGI:1929242
parameter_id,IMPC_EYE_056_001
mouse_strain,C57BL
parameter_name,Mean left eye lens density
mouse_life_stage,Early adult
