analysis_id,5ofsrxp294t86t8
mouse_strain,C57BL
pvalue,0.2663629
parameter_id,IMPC_EYE_006_001
gene_accession_id,MGI:1917810
mouse_life_stage,E12.5
gene_symbol,Wars2
parameter_name,Narrow eye opening
