parameter_name,Anophthalmia
parameter_id,IMPC_GEO_048_002
mouse_strain,C57BL
analysis_id,b86719k6ma2n4u5
gene_symbol,Col6a3
pvalue,0.7244667
gene_accession_id,MGI:88461
mouse_life_stage,Early adult
