parameter_id,JAX_LDT_008_001
parameter_name,Percent time in dark
analysis_id,o87fkznhj789dwe
mouse_life_stage,Early adult
pvalue,0.2369501
mouse_strain,C57BL
gene_symbol,Kdm4c
gene_accession_id,MGI:1924054
