gene_symbol,Kcng1
mouse_life_stage,Early adult
pvalue,0.5857185
parameter_name,BMC/Body weight
analysis_id,2inrfv2w53n78a1
gene_accession_id,MGI:3616086
parameter_id,IMPC_DXA_007_001
mouse_strain,C55BL
