parameter_name,Upper teeth appearance
gene_symbol,Dmap1
analysis_id,h5a1gy1x15sn7m2
pvalue,0.3494245
mouse_strain,C57BL
parameter_id,IMPC_CSD_069_001
gene_accession_id,MGI:1913483
mouse_life_stage,E12.5
