parameter_name,White blood cell count
gene_symbol,Bmp7
parameter_id,IMPC_HEM_001_001
mouse_life_stage,Early adult
analysis_id,8m1782n5p47nqln
pvalue,0.5996808
gene_accession_id,MGI:103302
mouse_strain,C57BL
