analysis_id,x532ys3z53d6f27
parameter_id,IMPC_GEO_048_002
parameter_name,Anophthalmia
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Inpp1
pvalue,0.2307263
gene_accession_id,MGI:104848
