parameter_name,Response amplitude - S
mouse_life_stage,Early adult
gene_symbol,Fgb
parameter_id,IMPC_ACS_006_001
gene_accession_id,MGI:99501
analysis_id,b1ee75wsro4v0h5
pvalue,0.7155437
mouse_strain,C57BL
