analysis_id,x4rajunvvk20f5y
mouse_life_stage,Early adult
parameter_name,lens opacity
mouse_strain,C57BL
gene_symbol,Sema6c
gene_accession_id,MGI:1338032
parameter_id,M-G-P_014_001_010
pvalue,0.8569108
