analysis_id,35k3jq84iwol84l
parameter_name,Mean corpuscular hemoglobin
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_006_001
pvalue,0.9910798
mouse_strain,C57BL
gene_symbol,Tnfsf8
gene_accession_id,MGI:88328
