analysis_id,uhx2u69vfk6535e
parameter_name,Glucose response AUC
gene_accession_id,MGI:1339969
pvalue,0.3332023
mouse_life_stage,Early adult
gene_symbol,Gja10
mouse_strain,C57BL
parameter_id,ESLIM_004_001_701
