analysis_id,b5g0p10k8wv330m
parameter_id,MGP_PBI_035_001
gene_accession_id,MGI:1920638
parameter_name,IgD+ mature B cell number
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Bpifa3
pvalue,0.2995408
