parameter_id,TCPLA_XRY_033_001
mouse_strain,C57BL
gene_accession_id,MGI:1924054
parameter_name,Tibia length
pvalue,0.6025093
gene_symbol,Kdm4c
analysis_id,3a601072gqx32z0
mouse_life_stage,Early adult
