analysis_id,70u45atw220415z
parameter_name,Heart weight
mouse_strain,C57BL
parameter_id,IMPC_HWT_008_001
mouse_life_stage,Early adult
gene_symbol,Cisd2
pvalue,0.834609
gene_accession_id,MGI:1914256
