analysis_id,3rdr85462c9yyt2
parameter_name,Chloride
mouse_life_stage,Early adult
gene_symbol,Dhdds
parameter_id,IMPC_CBC_003_001
gene_accession_id,MGI:1914672
pvalue,0.7938341
mouse_strain,C57BL
