parameter_name,Clavicle
mouse_strain,C57BL
gene_accession_id,MGI:99501
parameter_id,IMPC_XRY_007_001
pvalue,0.3291339
analysis_id,2d2oxm4spe50v4n
mouse_life_stage,Early adult
gene_symbol,Fgb
