gene_symbol,Usp37
analysis_id,1odbi19x4a0xa3i
parameter_name,Total cholesterol
gene_accession_id,MGI:2442483
parameter_id,HMGULA_CBC_015_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.481915
