analysis_id,fwn9179150s9tu6
mouse_life_stage,Early adult
pvalue,0.2248442
gene_symbol,Kcng1
mouse_strain,C57BL
gene_accession_id,MGI:3616086
parameter_id,MGP_MLN_058_001
parameter_name,Plasmacytoid DC - % of DC
