parameter_name,Percentage center time
mouse_life_stage,E15.5
pvalue,0.2180124
parameter_id,JAX_OFD_022_001
mouse_strain,C59BL
gene_accession_id,MGI:88174
gene_symbol,Bmi1
analysis_id,kow34iy29blw17r
