gene_symbol,Toporsl
mouse_strain,C57BL
gene_accession_id,MGI:1915524
mouse_life_stage,Early adult
parameter_id,ESLIM_011_001_009
analysis_id,21xmh58tu626428
pvalue,0.2584172
parameter_name,PP3 + pulse startle magnitude
