analysis_id,8aa5diu340xadc7
gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
pvalue,0.3779729
mouse_life_stage,Late adult
parameter_name,DN CD25- NKT cells
parameter_id,IMPC_IMM_025_001
mouse_strain,C57BL
