gene_symbol,F2
parameter_name,Fat/Body weight
mouse_life_stage,Early adult
gene_accession_id,MGI:88380
mouse_strain,C57BL
pvalue,0.7534783
analysis_id,jj5ja829s1eb187
parameter_id,JAXLA_DXA_009_001
