analysis_id,u38ernw40p350fi
mouse_strain,C57BL
pvalue,0.5032396
parameter_id,HMGULA_SHI_009_001
parameter_name,Startle response
gene_symbol,Mapkap1
mouse_life_stage,Early adult
gene_accession_id,MGI:2444554
