parameter_name,Total bilirubin
pvalue,0.3180492
analysis_id,1ksyg3x824ye8ao
mouse_life_stage,Late adult
parameter_id,IMPC_CBC_008_001
gene_symbol,Nucks1
mouse_strain,C57BL
gene_accession_id,MGI:1934811
