gene_symbol,Sass6
parameter_name,KLRG1+ NK cells - % of CD45+
mouse_strain,C57BL
gene_accession_id,MGI:1920026
mouse_life_stage,E12.5
analysis_id,37v07507t8m9m39
parameter_id,MGP_MLN_093_001
pvalue,0.1979396
