analysis_id,5t9rd7kx172ovc1
gene_accession_id,MGI:104848
mouse_life_stage,Early adult
pvalue,0.2807205
mouse_strain,C57BL
parameter_name,Resting NK cells - % of NK cells
parameter_id,MGP_MLN_033_001
gene_symbol,Inpp1
