mouse_life_stage,E12.5
mouse_strain,C57BL
gene_symbol,Tiprl
gene_accession_id,MGI:1915087
pvalue,0.7656106
parameter_id,MGP_MLN_072_001
parameter_name,KLRG1+ Treg cells - % of CD45+
analysis_id,ji77zy7o99tm1sp
