gene_symbol,Hspa5
gene_accession_id,MGI:95835
mouse_life_stage,E12.5
parameter_name,NKT cells (panel A) - % of live leukocytes (Panel A)
mouse_strain,C57BL
analysis_id,1e9cv9sgpk91wm6
pvalue,0.5389759
parameter_id,IMPC_IMM_004_002
