parameter_name,Time mobile light side
mouse_life_stage,Early adult
gene_accession_id,MGI:104848
mouse_strain,129SV
pvalue,0.9156437
analysis_id,c52lgwf4744as92
parameter_id,JAX_LDT_003_001
gene_symbol,Inpp1
