gene_symbol,Eprs1
parameter_name,Total ab T cells - % of CD45+
analysis_id,z8dfth25cg6l2j7
gene_accession_id,MGI:97838
mouse_life_stage,E12.5
parameter_id,MGP_MLN_063_001
mouse_strain,C57BL
pvalue,0.1006083
