gene_symbol,Ifi44
pvalue,0.4898509
parameter_name,Pericardium Morphology
gene_accession_id,MGI:2443016
mouse_strain,C57BL
analysis_id,btq1awhfwo30k8x
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_006_001
