analysis_id,0npx1x996ah4ey8
pvalue,0.6210471
parameter_id,MGP_IMM_070_001
mouse_life_stage,Early adult
parameter_name,Total ab T cells - % of CD45+
mouse_strain,C57BL
gene_symbol,Lime1
gene_accession_id,MGI:1919949
