gene_symbol,Serinc3
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1349457
pvalue,0.443417
parameter_id,MGP_IMM_081_001
analysis_id,82m707w826fs4gd
parameter_name,Effector CD8+ T cells - % of CD45+
