parameter_name,Body Weight
mouse_strain,C57BL
gene_accession_id,MGI:3616086
analysis_id,9689676vuwpr132
gene_symbol,Kcng1
mouse_life_stage,Early adult
parameter_id,M-G-P_020_001_001
pvalue,0.3394823
