analysis_id,k7899s1by860680
mouse_strain,C57BL
parameter_id,IMPC_ABR_004_001
gene_symbol,Cpa3
gene_accession_id,MGI:88479
pvalue,0.4048367
mouse_life_stage,Early adult
parameter_name,6kHz-evoked ABR Threshold
