analysis_id,8c78zvf52149006
mouse_strain,C57BL
parameter_name,Snout morphology
pvalue,0.6786544
gene_accession_id,MGI:1915848
parameter_id,MGP_CSD_066_001
gene_symbol,Dnajc8
mouse_life_stage,Early adult
