analysis_id,7q628d469cksvkr
mouse_life_stage,E9.5
parameter_name,Total ab T cells - % of CD45+
mouse_strain,C57BL
gene_symbol,Wars2
pvalue,0.9016728
parameter_id,MGP_IMM_070_001
gene_accession_id,MGI:1917810
