gene_symbol,Zc2hc1a
parameter_id,JAXLA_GRS_010_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1914556
analysis_id,s62x7922353eoo0
pvalue,0.6178078
parameter_name,Forelimb grip strength normalised against body weight
