mouse_strain,129SV
mouse_life_stage,Early adult
gene_accession_id,MGI:1918025
analysis_id,ey5zt60t7wn0ttr
pvalue,0.3521188
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
parameter_id,MGP_MLN_006_001
gene_symbol,Zmynd8
