parameter_name,Glucose
gene_symbol,Eprs1
mouse_life_stage,E12.5
mouse_strain,C57BL
parameter_id,IMPC_CBC_018_001
pvalue,0.139271
gene_accession_id,MGI:97838
analysis_id,78n7970trdmj719
